"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.258,0,0,0,0.8651,0.0988,0.1438,0.0067
"HIST1H1E",-0.1386,0,0,0,0,0.8343,0.1194,0.1673,0.0313
"AGAP8",0,0.2067,0,0,0,0.7644,0.0965,0.1614,0.0229
"ALG1L",-0.1304,0,0,0,0,0.8115,0.106,0.1753,0.0204
"ANKRD19P",0,0.3386,0,0,0,0.7564,0.1145,0.1391,-0.004
"ARMCX3",-0.0965,0,0,0,0,0.8329,0.1122,0.168,0.0195
"ATP5L2",0,0.2794,0,0,0,0.7916,0.1216,0.1811,0.004
"C11ORF16",0,-0.2588,0,-0.0623,0,0.7459,0.0888,0.1483,0.0155
"C16ORF74",0,0.3658,0,0,0,0.7155,0.1324,0.1533,-0.0012
"C17ORF50",0,0.0795,0,0,0,0.8289,0.1003,0.168,0.0197
"C1QTNF4",0,0.2564,-0.1501,0,0,0.7242,0.115,0.1647,-0.0066
"CORT",0,0.3567,0,0,0,0.7258,0.1151,0.133,0.0125
"CREB3L4",0,0.4442,0,0,0,0.7068,0.0869,0.2039,0
"CRX",-0.3972,0.3153,0,0.0123,0,0.856,0.0752,0.1183,0.0434
"CRYAA",0,0.3434,-0.0335,0,0,0.7381,0.131,0.1663,0.0072
"DKKL1",0,0.3728,0,0,0,0.691,0.136,0.1746,-0.0088
"ENPEP",-0.1055,0,0,0,0,0.8412,0.1119,0.1479,0.0106
"FABP2",0,0.086,0.0546,0,0,0.8239,0.1124,0.1763,0.0259
"FRA3B",0,0.3566,0,0,0,0.6791,0.1221,0.1588,0.0057
"FILIP1",-0.1636,0,0,0,0,0.8086,0.1227,0.1664,0.0144
"DKFZp566K0524",-0.2352,-0.0119,-0.0274,0.0819,0.1146,0.8261,0.0978,0.1707,0.0119
"GH1",-0.2026,0.2478,0,0,0,0.7125,0.1407,0.1812,0.0372
"GPR20",-0.183,0,0,0,0,0.8151,0.1125,0.18,0.0269
"GPR88",0,0,0,-0.1574,0,0.8447,0.1057,0.1556,0.0131
"GSC",-0.3635,0.3744,0,0,0,0.7461,0.1334,0.171,0.0137
"HIGD1B",-0.1805,0,0,0,0,0.8003,0.1088,0.1675,0.0144
"HIST1H1B",-0.1932,0.3256,0,0,0,0.8,0.1601,0.1967,0.0125
"HIST1H2BB",-0.1533,0.0846,0.0054,0.0525,0,0.812,0.114,0.1379,0.0342
"HIST2H2AB",-0.2421,0.1709,0,0,0,0.7899,0.1196,0.1639,0.0227
"H2A",0,0.3601,0,0,0,0.6683,0.1149,0.1433,-0.0019
"IFI27L1",0,0.3566,0,0,0,0.7288,0.1078,0.1178,0.0079
"KCNJ8",-0.0661,0,0,0,0,0.8235,0.1108,0.1691,0.017
"KLHL30",0,0,0,0.0892,0,0.8517,0.1064,0.172,0.0316
"LIPJ",0,0,0,-0.0463,0,0.8358,0.0956,0.1729,0.0196
"ZFHX4-AS1",-0.1378,0,0,0,0,0.8358,0.1144,0.1545,0.0295
"SEPHS1P1",-0.1772,0,0,0,0,0.8241,0.112,0.1737,0.0264
"TTC28-AS1",-0.3635,0,0,0,0,0.7169,0.1267,0.1674,0.0212
"AOC4P",-0.3722,0.3455,0,0,0,0.836,0.1092,0.1766,-0.0156
"MESP1",0,0.3741,0,0,0,0.732,0.0931,0.1326,-0.0179
"DLG6",0,0,0,0.2059,0,0.8314,0.1005,0.1902,0.0033
"MUC6",0,0.264,0,0,0,0.786,0.1113,0.1618,-0.0081
"MXD3",0,0.3957,0,0,0,0.7358,0.116,0.1442,-0.0216
"MYLK2",-0.2627,0.3346,0,0,0,0.8493,0.0993,0.1606,0.004
"NHSL2",-0.1543,0,0,0,0,0.8225,0.1285,0.1336,0.0059
"NXF4",0,-0.0167,0,0,0.0504,0.8164,0.1095,0.1698,0.0179
"OR10G3",-0.4871,0.3199,0.261,0.0508,0.0656,0.654,0.1707,0.1731,-0.0047
"OXER1",0,0.3147,0,0,0,0.7533,0.1271,0.1684,0.0205
"PARD6G",0.0694,0,0,0,0,0.8186,0.102,0.1566,0.0172
"PRDM6",-0.1916,0,0,0,0,0.8012,0.1272,0.1694,0.0142
"PTPN4",-0.079,0,0,0,0,0.8283,0.1078,0.1685,0.0188
"PTTG2",0,0.2534,0,0,0,0.7757,0.1223,0.1684,0.0183
"KBF2",-0.1701,0,0,0,0,0.808,0.1188,0.1739,-0.011
"RPL21",0,0,0,0.0929,0,0.8306,0.1054,0.1728,0.0205
"SCARNA17",-0.0874,0,0,0,0,0.8253,0.1029,0.1886,0.0249
"SCTR",0,0,0,-0.1493,0,0.8375,0.1035,0.1207,0.0158
"SDPR",-0.1714,0,0,0,0,0.8111,0.1078,0.1724,0.0145
"SEPT7P9",-0.0133,-0.0512,0,-0.0023,0,0.8192,0.1083,0.1557,0.0275
"SLC22A14",0,0,0,0.0944,0,0.8334,0.111,0.2015,0.0206
"HND",-0.3265,0.3584,0.1495,0,0,0.678,0.1648,0.1613,0.0124
"SNCB",0,0.3261,0,0,0,0.7356,0.1368,0.1666,0.0015
"DKFZP586C1324",0.0543,0,0,0,0,0.8277,0.0984,0.1727,0.0202
"SYCE1L",0,0.3247,0,0,0,0.7417,0.1205,0.1575,-3e-04
"SYNGR4",-0.761,0.7746,-0.1059,0,0,1.0035,0.0447,0.1299,-0.0092
"TFAMP1",0,0.3435,-0.0678,0,0,0.7276,0.1204,0.1747,-0.0014
"THAP2",-0.1155,0,0,0,0,0.8105,0.0978,0.1872,0.0182
"VHLL",-0.1643,0,0,0,-0.0077,0.849,0.0982,0.1803,0.0156
"VPS37B",0.042,0,0,0,0,0.8175,0.1051,0.165,0.0183
"WASH3P",0,0.3692,0,0,0,0.719,0.1183,0.1481,-0.0166
