"","main","clark","stage","age","gender","clark","stage","age","gender"
"CDR1",-0.6565,0.7414,0,0,0,0.7112,0.2654,0.1279,0.013
"NHLH1",0,0.3084,0,0,0,0.6935,0.2483,0.1232,-0.0114
"INAFM1",0,0.2997,0,0,0,0.6644,0.2606,0.1279,-0.0219
"ACBD6",0,0.2628,0,0,0,0.6765,0.2764,0.1282,-0.0091
"BGLAP",-0.6452,0.6939,0,0,0,0.8132,0.241,0.1223,-0.0198
"CHTOP",0,0.2909,0,0,0,0.6762,0.2529,0.115,-0.0056
"PTRHD1",0,0.3115,0,0,0,0.6537,0.2761,0.1256,-0.0339
"FAM212A",0,0.265,0,0,0,0.6829,0.2733,0.1236,-0.0196
"UQCC2",0,0.2553,0,0,0,0.6887,0.2681,0.1246,-0.0306
"CCDC153",0,0.1752,0,0,0,0.7051,0.2477,0.1165,-0.0221
"EVA1B",0,0.2887,0,0,0,0.6574,0.2623,0.1402,-0.0055
"FAM71D",0,0.259,0,0,0,0.6965,0.2542,0.122,-0.0176
"FAM71E1",-0.2201,0.3102,0,0,0,0.668,0.2412,0.1203,0.0053
"PRG6",0,0.2694,0,0,0,0.6812,0.2466,0.1062,-0.0308
"HIST1H1E",-0.2473,0.2388,0,0,0,0.7094,0.2499,0.1265,0.0152
"HSPA12B",0,0.2947,0,0,0,0.6534,0.2836,0.1188,-0.0027
"JUN",0,0.2596,0,0,0,0.6833,0.2458,0.124,-0.0134
"KCNA5",0,0.2043,0,0,0,0.6939,0.2693,0.1113,-0.0035
"LDLRAD2",0,0.3097,0,0,0,0.6558,0.2624,0.1228,-0.0186
"LINC00552",0,0.2803,0,0,0.1801,0.7146,0.2086,0.1052,-0.0014
"DNMBP-AS1",0,0.3896,0,0.255,0,0.719,0.2285,0.1465,-0.013
"PEMT",0,0.2525,0,0,0,0.6731,0.267,0.1069,-0.0335
"PER1",0,0.3588,0,0,0,0.6442,0.27,0.1096,-0.001
"PNMT",-0.613,0.271,0,0.4419,0,0.7459,0.2533,0.2753,-0.0204
"PPP1R14A",-0.2692,0.3425,0,0,0,0.6637,0.2844,0.1284,0.0015
"PUSL1",0,0.2426,0,0,0,0.6717,0.2506,0.1233,-0.0342
"RPL32",0,0.3012,0,0,0,0.6627,0.2497,0.1287,-0.0157
"RPS14",0,0.3422,0,0,0,0.6406,0.2696,0.1169,-0.0282
"SEMA6C",-0.2422,0.3117,0,0,0,0.6997,0.2544,0.1227,-0.0104
"SHOC2",-0.2594,0,0,0,0,0.7041,0.2417,0.1264,-0.0187
"SMC3",0,0.2727,0,0,0,0.6692,0.2672,0.1027,-0.0101
"SMNDC1",0,0.2526,0,0,0,0.687,0.2648,0.1024,-0.0196
"PHP",-0.1354,0.4826,-0.5405,0.1504,-0.0695,0.719,0.2159,0.1665,-0.0147
"USP21_2",0,0.2547,0,0,0,0.7154,0.2557,0.1219,-0.0136
"VPS72",0,0.2758,0,0,0,0.6883,0.2669,0.1208,-0.0167
"WIPF2",0,-0.2657,0,0,0,0.6878,0.2217,0.1072,-0.014
"ZNF579",0,0.289,0,0,0,0.6628,0.2563,0.1276,-0.0258
"ZP4",0.5545,0.9644,0,0,-0.362,0.8007,0.2699,0.1096,-0.0859
"EFCAB8",0,0.455,-0.479,0,0,0.7523,0.2085,0.1109,-0.0113
"AARSD1",0,0.2813,0,0,0,0.667,0.2722,0.1338,-0.0122
"ACOT8",0,0.2768,0,0,0,0.6628,0.2565,0.111,-0.0067
"ADAT3",0,0.2422,0,0,0,0.6763,0.2481,0.11,-0.0214
"ADA",0,0.2922,0,0,0,0.6486,0.2722,0.114,-0.0055
"ADCY10",0,0.1654,0,0,0,0.7209,0.2346,0.1071,-0.0078
"AKR7A2P1",0,0.1809,0,0,0,0.6929,0.221,0.1188,0.005
"AIRE",0,0.396,-0.2519,0,0,0.7687,0.1649,0.1016,-0.0092
"ALG1L",0,0.2717,0,0,0,0.6573,0.2972,0.1165,-0.0246
"ALG9",0,0.2602,0,0,0,0.7021,0.2671,0.1157,-0.0323
"ANKRD19P",0,0.344,0,0,0,0.6424,0.278,0.1148,-0.0268
"ANXA7",0,-0.2503,0,0,0,0.6938,0.2437,0.1106,-0.0099
"DKFZp434A1010",0,0.2582,0,0,0,0.7142,0.259,0.1119,-0.0192
"ARHGAP39",0,0.2651,0,0,0,0.6687,0.2831,0.1201,-0.0051
"ATP5D",0,0.2829,0,0,0,0.6607,0.2603,0.1153,-0.0298
"ATP5G1",0,0.256,0,0,0,0.6662,0.2711,0.1144,-0.0153
"ATP5G2",0,0.2946,0,0,0,0.6573,0.2727,0.119,-0.0267
"ATP5L2",0,0.2941,0,0,0,0.6878,0.2842,0.1095,-0.0061
"ATP5L",0,0.3036,0,0,0,0.6863,0.2611,0.1245,-0.0284
"ATP6V1A",0,-0.2861,0,0,0,0.6814,0.2153,0.1259,-0.0286
"ATP8B5P",0,0.2088,0,0,0,0.7197,0.2697,0.1057,-0.0223
"ATPAF2",0,0.2363,0,0,0,0.6816,0.2683,0.1072,-0.0094
"AURKB",0,0.2602,0,0,0,0.667,0.2602,0.1024,-0.0245
"CEP131",0,0.2529,0,0,0,0.6844,0.2517,0.1067,-0.0147
"BCL7C",0,0.2844,0,0,0,0.6702,0.262,0.115,-0.0183
"BRD9",0,0.3446,0,0,0,0.6479,0.2954,0.1003,-0.0199
"C14ORF80",0,0.3208,0,0,0,0.6728,0.2571,0.1035,-0.0265
"C14ORF93",0,0.3193,0,0,0,0.6915,0.262,0.1065,-0.0148
"TICRR",0,0.2494,0,0,0,0.6912,0.2499,0.1054,-0.0126
"C16ORF74",0,0.3462,0,0,0,0.6239,0.2904,0.1124,-6e-04
"C17ORF49",0,0.2515,0,0,0,0.6817,0.2595,0.1084,-0.0302
"C19ORF43",0,0.3039,0,0,0,0.6879,0.2406,0.1111,-0.0276
"C1QTNF4",0,0.3376,0,0,0,0.6261,0.3146,0.127,0.0027
"C1ORF35",0,0.2651,0,0,0,0.6872,0.255,0.1249,-0.0137
"NTPCR",0,0.2727,0,0,0,0.6817,0.2701,0.1212,-0.0038
"FLJ40075",0,0.2489,0,0,0,0.7181,0.2714,0.1019,-0.0065
"CYP1B1-AS1",-0.1852,0.2332,0,0,0,0.7327,0.2071,0.1141,4e-04
"ELP6",0,0.2399,0,0,0,0.6903,0.2467,0.1128,-0.0101
"EXOC3-AS1",0,0.2785,0,0,0,0.6852,0.268,0.0979,-0.007
"CCDC167",0,0,-0.2376,0,0,0.6811,0.2569,0.1148,-0.0119
"C6ORF226",0,0.2585,0,0,0,0.6841,0.2586,0.1098,-0.0176
"CARS",0,0.2821,0,0,0,0.6854,0.2352,0.1042,-0.0527
"CCDC101",0,0.3244,0,0,0,0.6495,0.2641,0.1088,-0.0255
