"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.2573,0,0,0,0.8573,0.1039,0.1489,2e-04
"TSACC",0,0,0,0.0372,0,0.8064,0.1074,0.1763,0.0255
"CHTOP",0,0.3349,0,0,0,0.7738,0.0834,0.1733,-0.0101
"LSMEM2",0,0,0,0.0755,0,0.8408,0.1094,0.1739,0.0215
"CCDC153",0,0,0,0,0.0934,0.8065,0.1052,0.1522,0.0235
"CEACAM8",-0.2275,0.0702,0.0733,0.0506,-0.0027,0.7708,0.1148,0.1848,0.0098
"FUNDC2P2",-0.1387,0,0,0,0,0.8397,0.1034,0.17,0.0177
"GABARAPL3",0,0,0.0476,0,-0.0102,0.8174,0.0978,0.1593,0.024
"H2AFB1",0,0,0.0388,0,0,0.8287,0.1021,0.1719,0.0279
"HIST1H1E",-0.1655,0,0,0.0433,-0.0061,0.8192,0.12,0.1671,0.0231
"LINC00552",0,0.078,0.0712,0,0,0.8392,0.1037,0.1722,0.013
"CHIAP2",-0.2015,0,0,0.0282,0,0.7988,0.1087,0.1549,0.0075
"MDM1",-0.1278,0,0,0,0,0.7957,0.1045,0.2099,0.0158
"DNMBP-AS1",-0.1762,0.463,0,0,0,0.8051,0.1016,0.169,0.0255
"PTPN20A",0.0317,0,0.4926,0.2872,-0.402,0.7882,0.1805,0.2431,-0.0285
"PTPRB",-0.084,0,0,0,0,0.822,0.1081,0.171,0.0203
"SFTA1P",-0.1638,0,0,0,0,0.8642,0.1126,0.1463,-7e-04
"SHOC2",-0.1647,0,0,0,0,0.8233,0.1061,0.1818,-0.0045
"PHP",0,0,0,-0.0169,0,0.8222,0.1117,0.1876,0.0278
"THADA",-0.1069,0,0,0,0,0.8006,0.1212,0.1682,0.0415
"ADCY10",0,0.1808,0,0,0,0.7977,0.0941,0.151,0.005
"AKR7A2P1",0,0.1728,0,0.0317,0,0.7602,0.1095,0.1747,0.0296
"AGAP8",0,0.2143,0,0,0,0.761,0.0961,0.1683,0.027
"AGR3",0,0,0.1444,0,0,0.8363,0.1799,0.1797,0.0175
"AGXT2",-0.4903,0,0,-0.0439,-0.3047,0.8088,0.106,0.1303,-0.0198
"AKAP11",-0.0566,0,0,0,0,0.8237,0.1096,0.1589,0.012
"ALG1L",-0.1059,0.2457,-0.0521,0.0646,0,0.7178,0.125,0.1859,0.007
"ANKRD19P",0,0.3357,0,0,0,0.7436,0.1174,0.1344,-0.0099
"ANP32C",0,0,0,0.0052,0,0.8207,0.104,0.173,0.0238
"APOBEC2",-0.0555,0,0,0,0,0.8583,0.0987,0.1678,0.0156
"ARMCX3",-0.0971,0,0,0,0,0.8128,0.1133,0.1729,0.017
"ASCL3",-0.1748,0.366,0.3339,-0.0349,-0.0146,0.8581,0.1118,0.1673,0.0057
"ASH2L",0,-0.2607,0,0,0,0.7906,0.1038,0.1569,0.0379
"ATP5L2",-0.1563,0.1949,-0.0412,4e-04,0.079,0.7583,0.1403,0.1682,0.0138
"JMS",-0.0395,0,0,0,0,0.8188,0.1112,0.1811,0.019
"BRSK1",0,0,0,0.1704,0,0.8374,0.1063,0.1174,0.014
"PRR26",0,0,0,0.1163,0,0.8565,0.1054,0.154,0.0199
"C11ORF16",0.0019,-0.2838,0.0512,-0.0692,0.0152,0.7513,0.109,0.154,0.0199
"C12orf63",-0.1944,-0.1914,-0.0162,0,0,0.7936,0.0886,0.2096,0.0267
"C14orf33",0.1276,0,0,0,0,0.8188,0.0789,0.1678,0.0183
"C14ORF93",0,0.3444,0,0,0,0.7823,0.1017,0.1505,0.0036
"LINC00593",-0.027,0,0,0,-0.1152,0.8249,0.0961,0.1818,0.0236
"C16ORF74",0,0.3685,0,0,0,0.7247,0.1249,0.1486,-0.003
"C17ORF50",-0.3381,0.2047,0.0978,0.0196,0.0438,0.8401,0.106,0.187,0.0298
"ADM5",0,0,0,0.1196,0,0.8245,0.1088,0.1849,0.0257
"C1QTNF4",0,0.2414,-0.1563,0,0,0.7476,0.1007,0.1692,-0.0059
"C1ORF229",0,0,0,0,-0.0076,0.8256,0.1061,0.1764,0.0238
"C1ORF35",0,0.3286,0,0,0,0.7293,0.0873,0.1583,-0.0156
"LINC00319",0,0,0,-0.0219,0,0.8279,0.1023,0.1506,0.0169
"STPG2",-0.1331,-0.0246,-0.0186,-0.0712,-0.012,0.7932,0.1025,0.1528,0.0149
"KIAA0825",-0.0696,0,0,0,0,0.8337,0.0923,0.1773,0.0294
"C7ORF34",0,0,0,0,-0.0368,0.8428,0.1047,0.1642,0.0209
"CACNA1S",-0.1204,0,0,0,0,0.8307,0.1068,0.1573,0.0244
"CALCRL",-0.1163,0,0,0,0,0.8199,0.1213,0.1729,0.0174
"CAPS2",0,0,0.0726,0,0,0.8501,0.0955,0.1814,0.0145
"CATSPER3",0,0.1126,0,0,0,0.7928,0.1094,0.1612,0.0286
"CCDC101",0,0.325,0,0,0,0.7176,0.1191,0.1556,0.0126
