"","main","clark","stage","age","gender","clark","stage","age","gender"
"DRD2",-0.2036,0.031,0,0,0,0.8189,0.1081,0.1747,0.0233
"NAAR1",-0.1208,0,0,0,0,0.8199,0.1027,0.1868,0.0285
"AEN",0.0177,0,0,0,0,0.8421,0.1036,0.1692,0.0197
"AHNAKRS",0.157,0,0,0,0,0.8027,0.1311,0.1633,0.054
"DAR",0.1524,0,0,0,0,0.8443,0.0853,0.1869,0.0313
"BGLAP",0,0.068,0,0,0,0.8436,0.0938,0.1695,0.0104
"MEDAG",-0.0963,0,0,0,0,0.8451,0.1012,0.1705,0.0247
"PTRHD1",0,0.3075,0,0,0,0.7756,0.1117,0.1818,-0.0233
"C5ORF15",-0.105,0,0,0,0,0.8123,0.1135,0.1941,0.0178
"C8ORF4",-0.1704,0,0,0,0,0.8126,0.1136,0.1726,0.0453
"C9ORF24",-0.1866,0,0,0,0,0.815,0.1,0.1713,0.023
"CCDC90B",-0.1262,0,0,0,0,0.7999,0.1302,0.1451,0.0305
"CHP1",0.1524,-0.0934,0,0,0,0.8166,0.1429,0.2126,0.0483
"CLTB",-0.1098,0,0,0,0,0.8057,0.1062,0.183,0.0199
"CNPY3",0,0.2494,0,0,0,0.7383,0.084,0.1729,-0.0032
"CWC22",-0.0696,0,0,0,0,0.8084,0.1106,0.1756,0.0202
"DKK2",-0.1638,0,0,0,0,0.8151,0.1238,0.1936,0.0371
"DUSP1",-0.2381,0,0,0,0,0.8186,0.0922,0.1875,0.0273
"EHD4",0.1481,0,0,0,0,0.791,0.1268,0.1449,0.042
"ERGIC2",-0.0417,0,0,0,0,0.818,0.1103,0.1654,0.0081
"FAM13A",-0.1247,0,0,0,0,0.8911,0.0928,0.1433,0.0122
"GAS8",-0.01,0,0,0,0,0.8219,0.103,0.1687,0.0189
"GORAB",-0.0049,0,0,0,0,0.8338,0.1007,0.1725,0.0203
"HRAS",-0.1178,0,0,0,0,0.8138,0.0851,0.1797,0.0152
"HSDL1",-0.0137,0,0,0,0,0.8238,0.1001,0.1722,0.0186
"HSPA12B",-0.1871,0.2633,0,0,0,0.7619,0.1126,0.1886,0.0301
"IGHMBP2",-0.0261,0,0,0,0,0.8174,0.105,0.1716,0.014
"VWA8",-0.0447,0,0,0,0,0.8141,0.1034,0.1595,0.0125
"CEP126",-0.182,0,0,0,0,0.8208,0.1023,0.1659,0.0104
"KL",-0.0594,0,0,0,0,0.8195,0.1088,0.1698,0.0165
"MDM1",-0.1358,0,0,0,0,0.7966,0.1032,0.2103,0.0132
"MTX3",-0.0855,0,0,0,0,0.7953,0.1044,0.1671,0.0062
"MXRA8",-0.1378,0,0,0,0,0.8399,0.1073,0.168,0.0257
"MYOD1",-0.5293,0.4244,0,0,0,0.9684,0.1067,0.1735,0.0064
"NYX",0,0.2851,0,0,0,0.8087,0.1033,0.1693,0.0094
"OLFML2B",-0.1258,0,0,0,0,0.8389,0.088,0.1741,0.0029
"SLC51A",-0.0878,0,0,0,0,0.8138,0.0968,0.1785,0.0264
"PCM1",-0.0196,0,0,0,0,0.831,0.1066,0.1791,0.0214
"PER1",-0.2731,0,0,0,0,0.799,0.0579,0.1692,0.0202
"PIGB",0.0102,0,0,0,0,0.8391,0.0972,0.1672,0.0253
"PIGH",0.1197,0,0,0,0,0.8441,0.1087,0.1698,0.0286
"PITPNA",0.0726,0,0,0,0,0.8089,0.1229,0.1871,-0.0067
"PLK3",-0.0368,0,0,0,0,0.8261,0.0991,0.1762,0.0208
"PNMT",-0.1169,0,0,0,0,0.8184,0.1063,0.1747,0.0208
"POGZ",0,0.2446,0,0,0,0.8008,0.1002,0.1982,0.0088
"PPP1R14A",-0.4614,0.4508,0,0,0,0.7381,0.1352,0.1815,0.0254
"PTP4A3",-0.3152,0.2334,0,0,0,0.814,0.1276,0.1604,0.0193
"PTPRB",-0.0762,0,0,0,0,0.8247,0.1045,0.1703,0.0194
"PXDNL",-0.1766,-0.0487,0,0,0,0.8368,0.1187,0.1732,0.0155
"RSF1",0.0045,0,0,0,0,0.8339,0.1,0.1782,0.0215
"SCAI",-0.1232,0,0,0,0,0.8029,0.0914,0.1689,0.0077
"SCRT1",-0.0845,0,0,0,0,0.8242,0.1076,0.1696,0.0243
"SCX",-0.1769,0,0,0,0,0.8325,0.0975,0.1946,0.0118
"SEMA6C",-0.157,0,0,0,0,0.8144,0.096,0.1628,0.0155
"SHOC2",-0.1681,0,0,0,0,0.8106,0.1175,0.1702,-0.0051
"SMC3",-0.074,0,0,0,0,0.8157,0.1063,0.1633,0.0047
"SMNDC1",-0.0911,0,0,0,0,0.8191,0.1061,0.1722,0.0139
"SSTR2",-0.15,0,0,0,0,0.8074,0.1118,0.1962,0.0196
"YJEFN3",0,0,0,1e-04,0,0.8461,0.0938,0.1743,0.0232
"ZP4",0.2305,0.7015,0,0,0,0.8731,0.0947,0.1786,-0.0142
"EFCAB8",0,0.2345,-0.2859,0,0,0.842,0.1096,0.2039,0.039
"ACOT8",0,0.3077,0,0,0,0.7267,0.109,0.1576,0.0067
"HYKK",0,0,0.0898,0,0,0.8348,0.1156,0.1876,0.009
"ANKRD19P",0,0.3379,0,0,0,0.7444,0.1223,0.1491,-0.0032
"ANKRD28",0,-0.2116,0,0,0,0.7833,0.1023,0.1529,0.0235
"ARHGAP39",0,0.2662,0,0,0,0.7683,0.1094,0.1553,0.0057
"ARID4B",-0.064,0,0,0,0,0.8146,0.113,0.1672,0.0155
"ARMCX3",-0.0895,0,0,0,0,0.8277,0.1103,0.1771,0.0165
"ASH2L",0,-0.2512,0,0,0,0.7974,0.1019,0.1649,0.0384
"ATG9A",0.0211,-0.0443,0,0,0,0.8146,0.1025,0.1741,0.0171
"ATP5D",0,0.3095,0,0,0,0.7439,0.1019,0.1564,-0.0211
"ATP5G2",0,0.3365,0,0,0,0.7478,0.1062,0.1623,-0.004
