"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.0531,0,0,0,0.6885,0.261,0.1284,-0.0145
"PTRHD1",0,0.0012,0,0,0,0.6573,0.2819,0.1308,-0.0361
"LDLRAD2",0,6e-04,0,0,0,0.6539,0.2684,0.1314,-0.0222
"PER1",0,2e-04,0,0,0,0.649,0.2717,0.115,-0.0028
"PNMT",-0.0513,0.0512,0,0.1134,0,0.7488,0.2585,0.3152,-0.0251
"PPP1R14A",0,0.0052,0,0,0,0.6605,0.2951,0.1362,9e-04
"SEMA6C",0,0.0018,0,0,0,0.703,0.2616,0.1285,-0.0121
"ZP4",0.036,0.0652,0,0,0,0.8147,0.2804,0.1145,-0.1015
"EFCAB8",0,0.1849,-0.2201,0,0,0.7599,0.2132,0.1175,-0.0116
"ANKRD19P",0,0.0035,0,0,0,0.6494,0.2797,0.121,-0.0302
"ATP5L2",0,0.2322,0,0,0,0.6917,0.2882,0.1129,-0.0099
"BRD9",0,4e-04,0,0,0,0.6551,0.2995,0.1047,-0.0243
"C14ORF80",0,0.0012,0,0,0,0.676,0.2627,0.108,-0.0322
"C14ORF93",0,0.0029,0,0,0,0.6949,0.2675,0.1122,-0.018
"C16ORF74",0,0.0011,0,0,0,0.6297,0.2952,0.118,-0.007
"C1QTNF4",0,0.0069,0,0,0,0.6239,0.3221,0.134,0.0018
"CCDC101",0,0.0012,0,0,0,0.6522,0.2696,0.1131,-0.0295
"CDC25C",0,0.0032,0,0,0,0.6391,0.2868,0.1264,-0.0139
"CEP72",0,0.002,0,0,0,0.6567,0.287,0.1076,-0.0135
"CHTF18",0,7e-04,0,0,0,0.6813,0.2492,0.1087,-0.0308
"CLVS1",0,0.056,0,0,0,0.6951,0.2069,0.134,-0.004
"CORT",0,0.0333,0,0,0,0.6502,0.2796,0.1195,-0.013
"CPSF1",0,2e-04,0,0,0,0.6436,0.2673,0.1228,-0.0096
"CREB3L4",0,0.0013,0,0,0,0.6517,0.2636,0.1277,0.014
"CRX",-0.5343,0,0,0,0,0.7271,0.2278,0.0934,0.0054
"CYP2C9",-0.0873,0.2685,0,0,0,0.9299,0.2017,0.1384,-0.0363
"CYTH2",0,5e-04,0,0,0,0.6613,0.2412,0.137,-0.0441
"DCPS",0,6e-04,0,0,0,0.7053,0.2799,0.0987,-0.0416
"DECR1",0,3e-04,0,0,0,0.6733,0.2805,0.1227,-0.01
"DEFB126",0,0.1881,0,0,0,0.6931,0.2757,0.1052,-0.0249
"DKKL1",0,0.0056,0,0,0,0.6318,0.305,0.1196,-0.0154
"DTD1",0,9e-04,0,0,0,0.6875,0.2733,0.1066,-0.0424
"DTNB",0,7e-04,0,0,0,0.6364,0.2842,0.1217,-0.0074
"ERCC1",0,3e-04,0,0,0,0.662,0.2764,0.1259,-0.0414
"FRA3B",0,0.0036,0,0,0,0.6359,0.2941,0.0996,-0.0107
"FOXE3",0,0.1072,0,0,0,0.6899,0.2732,0.1257,-0.0342
"FUS",0,1e-04,0,0,0,0.6496,0.2673,0.1176,-0.0143
"GPR22",0,0.3399,0,0,0,0.8076,0.2081,0.1052,0.0019
"GRM6",0,0.1016,0,0,0,0.7011,0.2623,0.1375,-0.0067
"GSC",-0.0161,0.011,0,0,0,0.661,0.2992,0.1011,-0.0081
"H2AFY2",0,0.0012,0,0,0,0.6981,0.2214,0.1243,-0.0022
"HAUS5",0,0.0012,0,0,0,0.6611,0.2737,0.1095,-0.0024
"HIST1H1B",0,0.0838,0,0,0,0.679,0.2821,0.114,-0.0013
"H2A",0,0.0094,0,0,0,0.6268,0.2794,0.1221,-0.008
"HNRNPA0",0,2e-04,0,0,0,0.6285,0.288,0.1204,-0.0228
"HNRNPA3P1",0,0.0074,0,0,0,0.6662,0.2579,0.1129,-0.0011
"IFI27L1",0,0.0016,0,0,0,0.6457,0.2744,0.115,-0.0098
"IGLL1",0,0.2175,-0.1937,0,0,0.7746,0.2128,0.084,-0.0072
"IMMP1L",0,0.0108,0,0,0,0.6786,0.2834,0.1215,-0.0317
"IP6K2",0,8e-04,0,0,0,0.6456,0.2749,0.1211,-0.014
"JPH4",0,0.001,0,0,0,0.6556,0.2791,0.1232,-0.0232
"LMX1A",-0.261,0.2116,0,0,0,0.7154,0.2383,0.0926,-0.0114
"TTC28-AS1",-0.0014,0,0,0,0,0.64,0.3006,0.1186,-0.0147
"LY86-AS1",0,0.2678,0,0,0,0.7511,0.2285,0.0935,0.0202
"LRRC48",0,0.0122,0,0,0,0.6836,0.2881,0.1286,0.0013
"LSM7",0,5e-04,0,0,0,0.654,0.2513,0.1215,-0.0321
"MAGED4",-0.0011,0.001,0,0,0,0.6804,0.2976,0.1092,0.027
"MESP1",0,0.0073,0,0,0,0.6622,0.2546,0.1236,-0.0185
"MXD3",0,9e-04,0,0,0,0.6469,0.2787,0.1255,-0.0353
"MYLK2",0,0.0608,0,0,0,0.7194,0.272,0.1441,-0.0171
"NR2E3",0,0.2032,0,0,0,0.6731,0.2738,0.1309,-0.0323
"OR10G3",0,0.8962,0,0,0,0.6293,0.299,0.1132,-0.0106
"OXER1",0,0.0038,0,0,0,0.6518,0.2967,0.1277,-0.0073
"PACSIN3",0,6e-04,0,0,0,0.6539,0.2922,0.1225,-0.0342
"PFDN2",0,3e-04,0,0,0,0.6685,0.2555,0.136,-0.008
"POLR2I",0,6e-04,0,0,0,0.6532,0.2664,0.1272,-0.0427
"PTTG2",0,0.0658,0,0,0,0.6633,0.2955,0.1142,-0.0118
"KBF2",-9e-04,0,0,0,0,0.6656,0.2233,0.1179,-0.0361
"RPL31P11",0,0.0371,0,0,0,0.6685,0.232,0.1257,0.0047
"RPP40",0,0.0029,0,0,0,0.6537,0.2707,0.1324,0.0071
"CLASRP",0,0.001,0,0,0,0.6802,0.2412,0.1194,-0.0238
"HND",0,0.1016,0,0,0,0.6277,0.3107,0.1242,-0.0037
"SNCB",0,9e-04,0,0,0,0.6391,0.3119,0.1103,-0.0135
"SNRPA",0,3e-04,0,0,0,0.6376,0.2711,0.1269,-0.0267
"SNRPF",0,6e-04,0,0,0,0.6564,0.2729,0.1229,-0.0234
"SNX12",0,-0.0025,0,0,0,0.6905,0.2395,0.1348,-0.0029
"SYCE1L",0,0.0122,0,0,0,0.6647,0.2863,0.1212,-0.0159
"SYCE2",0,0.0142,0,0,0,0.6647,0.2802,0.108,-0.0215
"SYNGR4",-0.0898,0.2903,0,0,0,0.8421,0.1709,0.124,-0.0447
"TFAMP1",0,0.1345,0,0,0,0.6553,0.2843,0.1231,0.0011
"TMEM160",0,0.0016,0,0,0,0.6604,0.2777,0.1202,-0.0213
"TMPRSS5",0,0.0026,0,0,0,0.6478,0.2791,0.1087,0.0031
"TMSB15B",0,0.006,0,0,0,0.7347,0.2503,0.1017,0.0139
"VHLL",-0.7394,0,0,0,0,0.7499,0.2078,0.1317,-0.0151
"WASH3P",0,8e-04,0,0,0,0.6523,0.268,0.1231,-0.0149
