"","main","clark","stage","age","gender","clark","stage","age","gender"
"NHLH1",0,0.0208,0,0,0,0.607,0.2824,0.0971,0.0414
"AGAP8",0,0.0063,0,0,0,0.5897,0.2869,0.0926,0.055
"C16ORF74",0,0.001,0,0,0,0.5806,0.2863,0.1082,0.0643
"CORT",0,0.0241,0,0,0,0.5982,0.2773,0.0987,0.0444
"CRX",-0.3421,0,0,0,0,0.5906,0.278,0.1236,0.0556
"CRYAA",0,0.0171,0,0,0,0.5835,0.291,0.1034,0.0571
"DKKL1",0,0.0053,0,0,0,0.5911,0.2848,0.0997,0.0481
"FABP2",0,0,0.1336,0,0,0.5782,0.2943,0.1075,0.0465
"FILIP1",-0.0045,0,0,0,0,0.5707,0.2752,0.11,0.077
"GH1",0,0.0277,0,0,0,0.5834,0.2871,0.0981,0.0534
"GPR20",-0.0484,0,0,0,0,0.5948,0.2873,0.1034,0.0533
"GSC",0,0.0065,0,0,0,0.5807,0.2962,0.0997,0.0537
"H2A",0,0.0095,0,0,0,0.581,0.2751,0.1088,0.0588
"IFI27L1",0,0.0015,0,0,0,0.5815,0.2695,0.0998,0.0326
"LIPJ",0,0,0,-0.1575,0,0.5866,0.2751,0.0928,0.0554
"ZFHX4-AS1",-0.0279,0,0,0,0,0.553,0.3014,0.1116,0.0579
"MUC6",0,0.0496,0,0,0,0.5874,0.2937,0.1033,0.0442
"NHSL2",-0.0098,0,0,0,0,0.6084,0.2904,0.0972,0.0403
"OR10G3",-0.4756,0.9078,0.1629,0,0.522,0.5987,0.2994,0.1079,0.0567
"OXER1",0,0.0036,0,0,0,0.5908,0.2774,0.1017,0.0532
"PRDM6",-0.0105,0,0,0,0,0.5939,0.2875,0.1072,0.0479
"PTPN4",-0.0025,0,0,0,0,0.5736,0.2774,0.0861,0.0345
"KBF2",-5e-04,0,0,0,0,0.5729,0.2704,0.1018,0.0421
"HND",0,0.1062,0,0,0,0.5845,0.307,0.1044,0.0489
"SNCB",0,7e-04,0,0,0,0.5869,0.2932,0.0934,0.0507
"SYCE1L",0,0.012,0,0,0,0.6033,0.2837,0.0984,0.0524
"TFAMP1",0,0.1261,0,0,0,0.6247,0.2806,0.0908,0.0642
"VHLL",-0.3646,0,0,0,0,0.6373,0.2652,0.106,0.0364
"VPS37B",2e-04,0,0,0,0,0.5873,0.2633,0.089,0.0413
