"","main","clark","stage","age","gender","clark","stage","age","gender"
"DRD2",-0.0049,0.0077,0,0,-0.0061,0.7201,0.3111,0.1105,-0.0511
"AEN",2e-04,0,0,0,0,0.5903,0.3041,0.0863,0.0492
"BGLAP",0,0.0061,0,0,0,0.7319,0.2764,0.1234,0.0365
"PTRHD1",0,0.0012,0,0,0,0.6036,0.2589,0.129,-0.0076
"CNPY3",0,2e-04,0,0,0,0.6244,0.2618,0.0989,0.0394
"CWC22",-6e-04,0,0,0,0,0.5572,0.2598,0.0758,0.0693
"HSPA12B",0,9e-04,0,0,0,0.6006,0.2776,0.1232,0.0271
"LDLRAD2",0,9e-04,0,0,0,0.5903,0.2722,0.1199,0.0171
"MYOD1",-0.0239,0.0528,0,0,0,0.7998,0.1782,0.1983,0.0369
"NYX",0,0.0284,0,0,0,0.6333,0.2274,0.1162,-0.0029
"OLFML2B",-2e-04,0,0,0,0,0.5888,0.3043,0.1093,0.0372
"PIGH",0.0011,0,0,0,0,0.6068,0.2748,0.0993,0.0302
"PITPNA",3e-04,0,0,0,0,0.6149,0.2425,0.1277,0.0436
"PPP1R14A",0,0.0068,0,0,0,0.6138,0.3011,0.1083,0.0485
"PTP4A3",0,3e-04,0,0,0,0.6368,0.265,0.1136,0.0145
"PXDNL",-0.0116,0,0,0,0,0.5982,0.2736,0.0752,0.0205
"SEMA6C",-0.0012,0,0,0,0,0.6498,0.2627,0.1326,0.0361
"SETDB1",0,3e-04,0,0,0,0.6229,0.291,0.1009,0.0625
"SSTR2",-0.0082,0,0,0,0,0.5869,0.2755,0.1195,0.0697
"SUPT7L",0,9e-04,0,0,0,0.6037,0.3049,0.0785,0.0472
"THADA",-7e-04,0,0,0,0,0.5423,0.2985,0.1014,0.044
"ZNF579",0,0.0014,0,0,0,0.6118,0.2773,0.1231,0.0288
"ZP4",0.0393,0.0675,0,0,0,0.7992,0.2878,0.0761,-0.076
"AKAP11",-3e-04,0,0,0,0,0.5325,0.2949,0.089,0.0465
"ALX1",6e-04,0,0,0,0,0.5588,0.2779,0.1048,0.048
"ARMCX3",-3e-04,0,0,0,0,0.558,0.2977,0.0865,0.0718
"BST1",9e-04,0,0,0,0,0.5738,0.285,0.1418,0.0275
"LAMTOR1",2e-04,0,0,0,0,0.5311,0.2916,0.0955,0.0732
"C1ORF216",4e-04,0,0,0,0,0.5646,0.2701,0.0944,0.0599
"CAB39",-3e-04,0,0,0,0,0.5323,0.2841,0.0826,0.0676
"CBR3",5e-04,0,0,0,0,0.5716,0.2808,0.1012,0.068
"CC2D1B",3e-04,0,0,0,0,0.5601,0.2738,0.1128,0.0316
"CELSR2",1e-04,0,0,0,0,0.5674,0.2943,0.1081,0.0731
"CLP1",0.0015,0,0,0,0,0.5777,0.298,0.0626,0.0484
"CLSTN1",1e-04,0,0,0,0,0.5783,0.2848,0.063,0.0652
"COX8C",-0.2479,0,0,0,0,0.6548,0.2387,0.131,0.0772
