"","main","clark","stage","age","gender","clark","stage","age","gender"
"CDR1",-0.0171,0,0,0,0,0.7173,0.3113,0.1546,0.0424
"DRD2",-0.011,0,0,0,0,0.983,0.3249,0.1107,-0.1786
"BGLAP",-0.0041,0,0,0,0,0.8196,0.2543,0.1753,0.0028
"CHP1",1e-04,0,0,0,0,0.6886,0.2866,0.1097,-0.0045
"JUN",-1e-04,0,0,0,0,0.694,0.2388,0.1385,-0.0222
"KCTD21",0.001,0,0,0,0,0.6533,0.2003,0.0718,0.0044
"MYOD1",-0.0342,0,0,0,0,0.9235,0.123,0.2799,0.0089
"OXT",-0.2706,0,0,0,0,0.791,0.2153,0.1582,-0.0192
"PER1",-2e-04,0,0,0,0,0.6468,0.2632,0.1266,-0.0051
"PITPNA",3e-04,0,0,0,0,0.7217,0.2134,0.1383,-0.0181
"PNMT",-0.0588,0,0,0,0,0.7462,0.2569,0.3342,-0.0272
"SCX",-0.0289,0,0,0,0,0.8766,0.1875,0.1999,-0.0048
"SEMA6C",-0.0014,0,0,0,0,0.7007,0.2624,0.1347,-0.0067
"SSTR2",-0.0117,0,0,0,0,0.7368,0.25,0.0966,0.0169
"STX3",2e-04,0,0,0,0,0.7324,0.2445,0.1118,-0.0153
"TATDN1",-0.0015,0,0,0,0,0.7085,0.2426,0.1286,-0.013
"THADA",-9e-04,0,0,0,0,0.7072,0.2734,0.1002,7e-04
"C6orf46",-0.0014,0,0,0,0,0.7461,0.2225,0.1683,-0.0073
"ZP4",0.0407,0,0,0,0,0.829,0.2914,0.1154,-0.1201
"ACTA2",-1e-04,0,0,0,0,0.7746,0.2238,0.0843,0.011
"CAR10",-2e-04,0,0,0,0,0.7276,0.2209,0.1055,-0.0155
"AGER",-0.0024,0,0,0,0,0.8126,0.202,0.1154,-0.0256
"AGR3",-0.3616,0,0,0,0,1.915,-0.6499,0.0313,-0.0433
"ANKRD28",1e-04,0,0,0,0,0.6886,0.2641,0.1198,0.0072
"AOC3",-7e-04,0,0,0,0,0.752,0.2235,0.0807,-0.0134
"ARMC9",4e-04,0,0,0,0,0.6917,0.2725,0.1,-0.0079
"BICD2",3e-04,0,0,0,0,0.6919,0.2753,0.1202,0.0152
"BMP4",-0.0017,0,0,0,0,0.7648,0.2293,0.1137,-0.0253
"BTNL9",-0.0031,0,0,0,0,0.7065,0.2176,0.1186,0.0089
"C1ORF54",-0.0019,0,0,0,0,0.7183,0.2488,0.1131,0.0013
"CYP1B1-AS1",-0.0804,0,0,0,0,0.7651,0.2043,0.1092,-0.0092
"CALCRL",-9e-04,0,0,0,0,0.7253,0.2416,0.0937,-0.0029
"CD248",-2e-04,0,0,0,0,0.7426,0.2578,0.1175,-0.0265
"CELSR2",1e-04,0,0,0,0,0.6908,0.2807,0.107,0.0236
"CLVS1",-0.0227,0,0,0,0,0.6966,0.2092,0.1408,1e-04
"COX4I2",-0.0102,0,0,0,0,0.7,0.246,0.1083,0.0027
"COX8C",-0.19,0,0,0,0,0.7416,0.2236,0.1583,-0.0145
"CPXM1",-1e-04,0,0,0,0,0.6463,0.305,0.133,-0.0149
"CRX",-0.5332,0,0,0,0,0.7238,0.2332,0.0973,0.0093
"DCLK3",-0.0136,0,0,0,0,0.701,0.2424,0.1209,0.0015
"DNASE1L1",6e-04,0,0,0,0,0.6667,0.2273,0.1342,-0.0493
"ENPEP",-0.0022,0,0,0,0,0.7572,0.2298,0.0877,-0.0035
"FAIM2",-0.0047,0,0,0,0,0.7565,0.2172,0.0874,-0.0263
"FAM43A",5e-04,0,0,0,0,0.693,0.2419,0.1184,-0.0088
"FGF21",-0.4533,0,0,0,0,0.959,0.243,0.1054,-0.0603
"FGF8",-0.3508,0,0,0,0,0.8035,0.2137,0.1233,-0.0519
"FHL5",-0.0183,0,0,0,0,0.7564,0.2062,0.0928,0.0025
"FILIP1",-0.0069,0,0,0,0,0.7517,0.2269,0.095,0.0018
"FLT4",-0.0011,0,0,0,0,0.7593,0.233,0.0697,0.0079
"GLI2",-0.0022,0,0,0,0,0.7977,0.1978,0.1435,-0.0225
"ADGRF5",-5e-04,0,0,0,0,0.7432,0.2227,0.0878,-0.0079
"GRM6",-0.0909,0,0,0,0,0.703,0.255,0.1476,-0.0205
"GSC",-0.0153,0,0,0,0,0.6603,0.2999,0.1014,-0.006
"H2AFY2",-7e-04,0,0,0,0,0.6981,0.2026,0.1308,-0.0223
"HIC1",-0.0013,0,0,0,0,0.7224,0.2335,0.1066,-0.0227
"HIGD1B",-0.0355,0,0,0,0,0.7372,0.2339,0.0902,0.014
"HNRNPC",-1e-04,0,0,0,0,0.6837,0.232,0.1212,-0.0165
"JPH4",-0.0011,0,0,0,0,0.6526,0.2633,0.1475,-0.0395
"KIAA0284",1e-04,0,0,0,0,0.6967,0.2338,0.1177,0.0154
"LMX1A",-0.2673,0,0,0,0,0.7156,0.2374,0.09,-0.0039
"ZFHX4-AS1",-0.0427,0,0,0,0,0.7331,0.2479,0.1046,-0.0118
"LRP10",1e-04,0,0,0,0,0.6603,0.2459,0.0843,-0.01
"LRRN2",-0.0016,0,0,0,0,0.7207,0.2357,0.1243,-0.0189
"MAGED4B",-3e-04,0,0,0,0,0.749,0.2406,0.1087,0.0115
"MAGED4",-9e-04,0,0,0,0,0.6817,0.2991,0.1137,0.0171
"MINK1",2e-04,0,0,0,0,0.6992,0.2327,0.1224,-0.0064
"MLXIP",3e-04,0,0,0,0,0.7026,0.2464,0.0876,0.0077
"IRAG",-0.0023,0,0,0,0,0.6959,0.2588,0.103,0.0109
"MYLK2",-0.0346,0,0,0,0,0.7201,0.2836,0.1521,-0.0189
"MYO1C",1e-04,0,0,0,0,0.7003,0.2212,0.1168,-0.0103
"NHSL2",-0.0147,0,0,0,0,0.7327,0.2415,0.0685,-0.0145
"BCH",-0.0396,0,0,0,0,0.9581,0.0725,0.1371,0.0057
"OGN",-0.0016,0,0,0,0,0.8741,0.1467,0.1532,-0.0323
"OLFML1",-0.0013,0,0,0,0,0.7406,0.2316,0.1059,-0.0161
"PCOLCE2",-0.0012,0,0,0,0,0.7111,0.2341,0.0934,0.008
"PDGFRB",-1e-04,0,0,0,0,0.7366,0.2263,0.0993,-0.016
"JADE1",-4e-04,0,0,0,0,0.7245,0.2501,0.1469,-0.0323
"PIP4K2C",3e-04,0,0,0,0,0.6931,0.1682,0.076,0.0072
"PLEKHO1",-2e-04,0,0,0,0,0.7048,0.2655,0.084,-0.0062
"PRDM6",-0.0295,0,0,0,0,0.7366,0.2295,0.1262,-0.0146
"PVALB",-0.0124,0,0,0,0,0.7467,0.2673,0.1187,0.0037
"RAB5C",1e-04,0,0,0,0,0.7106,0.2366,0.0903,-0.018
"RBM3",1e-04,0,0,0,0,0.7223,0.2715,0.1,-0.0013
"RBMX",-2e-04,0,0,0,0,0.6768,0.1848,0.1095,-0.002
"KBF2",-9e-04,0,0,0,0,0.6589,0.2405,0.123,-0.0313
"SCAMP2",2e-04,0,0,0,0,0.695,0.2544,0.102,-0.0275
"SCARNA17",-0.0433,0,0,0,0,0.7685,0.1979,0.0977,0.0055
"SEMA5B",-0.0075,0,0,0,0,0.7607,0.2224,0.0872,0.0069
"SFTA2",-0.1678,0,0,0,0,1.4267,-0.1494,0.1122,0.0113
"SMOC2",-7e-04,0,0,0,0,0.7602,0.2281,0.105,-0.0106
"SYNGR4",-0.1071,0,0,0,0,0.8432,0.1663,0.1281,-0.0403
"TBC1D1",-4e-04,0,0,0,0,0.7261,0.2264,0.0975,-0.0177
"TEKT2",-0.0281,0,0,0,0,0.7998,0.2499,0.1362,-0.0133
"TIE1",-5e-04,0,0,0,0,0.7169,0.2607,0.1087,0.0062
"TMEM159",0.001,0,0,0,0,0.7,0.2551,0.0577,0.0061
"TNFAIP1",5e-04,0,0,0,0,0.6821,0.2464,0.0954,-0.0157
"TNFRSF4",-0.0022,0,0,0,0,0.75,0.2174,0.0461,0.0182
