"","main","clark","stage","age","gender","clark","stage","age","gender"
"CDR1",-0.6125,0.6953,0,0,0,0.7093,0.2651,0.1298,0.0079
"DRD2",-1.0867,1.5745,0,0,-0.3359,0.7976,0.2462,0.117,-0.0384
"NHLH1",0,0.3081,0,0,0,0.6892,0.2513,0.123,-0.0137
"INAFM1",0,0.2978,0,0,0,0.659,0.2677,0.1253,-0.0226
"HSPB1P1",0,0.1748,0,0,0,0.704,0.2377,0.1201,-0.0227
"ACBD6",0,0.2617,0,0,0,0.6803,0.2774,0.1264,-0.0098
"AHNAKRS",0,-0.1874,0,0,0,0.7309,0.2341,0.0959,-0.0046
"ALKBH7",0,0.1985,0,0,0,0.6945,0.2441,0.1051,-0.0243
"ANKRD13B",0,0.1258,0,0,0,0.7152,0.2309,0.1142,-0.0127
"B4GALT3",0,0.1847,0,0,0,0.7046,0.2435,0.1325,-5e-04
"BCAR4",0,-0.0062,0,0,0,0.7282,0.2287,0.1117,-0.0093
"BGLAP",0,0.1251,0,0,0,0.7506,0.2251,0.1118,-0.0208
"MPC1",0,-0.0443,0,0,0,0.7368,0.228,0.1064,-0.0102
"CHTOP",-0.1876,0.3335,0,0,0,0.67,0.2555,0.1235,0.0046
"PTRHD1",0,0.3111,0,0,0,0.6563,0.2762,0.1228,-0.0314
"FAM212A",0,0.2656,0,0,0,0.6829,0.2693,0.1241,-0.0198
"UQCC2",0,0.2521,0,0,0,0.6868,0.2639,0.1288,-0.0303
"C9ORF142",0,0.2296,0,0,0,0.7001,0.2406,0.1074,-0.022
"CCL15",0,0,-0.0397,0,0,0.7356,0.23,0.1093,-0.012
"CCS",0,0.1973,0,0,0,0.7103,0.243,0.1114,-0.0233
"CHP1",0.228,-0.1706,0,0,0,0.7026,0.2537,0.1107,-0.0041
"CNPY3",0,0.217,0,0,0,0.691,0.2431,0.1124,-0.0138
"DACT2",0,-0.0366,0,0,0,0.7335,0.2268,0.1136,-0.0114
"DDAH2",0,0.1954,0,0,0,0.7058,0.2608,0.125,-0.0275
"EVA1B",0,0.2862,0,0,0,0.6573,0.2564,0.1363,-0.0083
"FAM177B",0,0.0086,0,0,0,0.7314,0.2301,0.1106,-0.0055
"FAM71D",0,0.2581,0,0,0,0.6998,0.2537,0.1233,-0.0149
"FAM71E1",0,0.2231,0,0,0,0.6859,0.2309,0.1191,-0.0202
"FBN3",0.4537,0.7273,0,0,-0.6924,0.8246,0.2227,0.1082,-0.0786
"FKBP8",0,0.1819,0,0,0,0.7145,0.2422,0.1103,-0.0221
"PRG6",0,0.272,0,0,0,0.6815,0.2475,0.1097,-0.0323
"GPR156",0,0.166,0,0,0,0.7012,0.24,0.1198,0.0019
"MGC4485",-0.0991,0,0,0,0,0.734,0.2299,0.1127,-0.0046
"HIST1H1E",0,0.1456,0,0,0,0.7226,0.2257,0.1176,-0.0039
"HMGB3",0,0.1287,0,0,0,0.7175,0.2395,0.1064,-0.0151
