"","main","clark","stage","age","gender"
"TMEM159",0.001,0,0,0,0
"TMED3",1e-04,0,0,0,0
"PITPNA",0,0,0,0,-1e-04
"MEF2C",-2e-04,0,0,0,0
"DPYD",-5e-04,0,0,0,0
"SLC16A5",0.0013,0,0,0,0
"FAM222A-AS1",0,0.0056,0,0,0
"NHSL2",-0.0147,0,0,0,0
"C13orf15",-0.0016,0,0,0,0
"CHP1",1e-04,0,0,0,0
"HEG1",-2e-04,0,0,0,0
"FLJ10197",0,0,0,-4e-04,0
"PIGH",0.0013,0,0,0,0
"LHX5",0.6683,0,0,0,0
"LOC95509",0,0,0.0212,0.0261,0
"SHPK",0,0,0,-4e-04,0
"F12",9e-04,0,0,-5e-04,0
"BMPER",3e-04,0.0016,0,-0.002,0
"LOC90402",0,0,0,-1e-04,-1e-04
"MYO19",4e-04,0,0,0,0
"LOC647710",8e-04,0,0,0,0
"INPP1",8e-04,0,0,0,0
"LOC727896",0,0,0,0,-0.0026
"ABCC9",-0.0012,0,0,0,0
"ZFP69B",0,0,0,-0.0017,0
"AEN",2e-04,2e-04,0,0,0
"ESRRA",0,0,0,2e-04,0
"LOC96067",0,0,0,4e-04,0
"PRKG1",-9e-04,0,0,0,0
"DENND6B",0,0,0,0,1e-04
"IGF2BP3",1e-04,0,0,0,0
"HAS3",0.001,0,0,0,0
"CELA3A",0,0,0,-0.1282,0
"LOC115227",0.0013,0,0,-0.0011,0
"DARS",0,-1e-04,0,0,0
"NUDT19",0,0,0,8e-04,0
"AGAP11",0.001,0,0,0,-5e-04
"CCNB3",0.0057,-9e-04,0,0,0
"LOC51745",0,0,0,0,0.0061
"RAB33A",0,0,0,0,0.001
"FABP5P3",0.0491,0,0,0,0
"POLR3K",4e-04,0,0,0,0
"C10ORF53",0,0.1649,0,0,0
"LOC220513",0,0,0,-0.001,0
"LOC221701",-4e-04,0,0,0,0
"TUBE1",0,0.0027,0,0,0
"MRPL10",2e-04,0,0,0,0
"CEP112",0,0,0,-8e-04,0
"LOC129644",5e-04,0,0,0,0
"LDLRAD3",2e-04,0,0,0,0
"PNP",0,-2e-04,0,0,0
"ULK4P3",-0.0021,0,0,-0.0039,0
"LOC645822",0,0,0,-0.3472,0
"YIPF4",0,6e-04,0,0,0
"SAA2",0.0072,-0.0056,0,-0.0078,0
"PLCB1",0,0,0,-4e-04,0
"BARD1",0,0,0,-0.0021,0
"SLC34A3",0.0186,0,0,-0.011,0
"KCNQ4",0,0.0033,0,0,0
"SHANK1",0,0.0017,0,-5e-04,0
"OR4F21",1.1513,0,0,0,0
"EFCAB13",0,0,0,0,-0.0018
"CMBL",0,1e-04,0,0,0
"LIPJ",0,0,0,-0.1485,0
"AKR1E2",0,0,0,-0.0023,0
"CCDC88A",0,0,0,-2e-04,0
"TXNDC12",0,-2e-04,0,0,0
"ELOVL7",0,0,0,0,0.001
"LOC649125",0,0,0,0,-0.0013
"SNORD116-28",-0.0028,0,0,0,0
"VDAC2",0,0,0,0,1e-04
"LOC727870",0,0,0,-0.0097,0
"PAX8",0,0,0,-0.0017,-9e-04
"KLHL30",0,0,0,0.003,0
